$,SN2018dfi,16:50:50.14,+45:23:52.07,2000,1,;
0,360,V,5,1,1,;
0,320,g,5,1,1,;
0,320,r,5,1,1,;
0,320,i,5,1,1,;
$,pgc1818,00:29:43.06,+30:02:57.10,2000,1,;
0,300,g,5,1,1,;
$,pgc1578,00:25:13.36,+30:02:13.41,2000,1,;
0,300,g,5,1,1,;
$,pgc2803,00:47:50.15,+29:57:35.10,2000,1,;
0,300,g,5,1,1,;
$,pgc2687,00:46:00.87,+29:57:34.26,2000,1,;
0,240,g,5,1,1,;
$,pgc1883873,00:33:00.42,+29:56:18.10,2000,1,;
0,360,g,5,1,1,;
$,pgc1089,00:16:28.56,+29:55:26.50,2000,1,;
0,300,g,5,1,1,;
$,pgc2560,00:42:47.89,+29:55:20.40,2000,1,;
0,240,g,5,1,1,;
$,pgc2553,00:42:39.66,+29:52:33.40,2000,1,;
0,360,g,5,1,1,;
$,pgc2670,00:45:44.96,+29:50:08.80,2000,1,;
0,300,g,5,1,1,;
$,pgc2381,00:39:29.53,+29:45:45.16,2000,1,;
0,300,g,5,1,1,;
$,pgc7287,01:56:39.89,+35:35:32.60,2000,1,;
0,300,g,5,1,1,;
$,pgc7257,01:56:21.43,+35:34:21.40,2000,1,;
0,300,g,5,1,1,;
$,pgc6560,01:47:16.15,+35:33:47.88,2000,1,;
0,180,g,5,1,1,;
$,pgc5984,01:36:49.04,+35:30:44.00,2000,1,;
0,240,g,5,1,1,;
$,pgc5926,01:35:38.52,+35:28:01.20,2000,1,;
0,300,g,5,1,1,;
$,pgc6691,01:49:25.75,+35:27:10.30,2000,1,;
0,240,g,5,1,1,;
$,pgc7125,01:54:57.78,+35:25:12.50,2000,1,;
0,300,g,5,1,1,;
$,pgc6916,01:52:06.78,+35:24:53.10,2000,1,;
0,240,g,5,1,1,;
$,pgc6059,01:38:18.64,+35:21:53.55,2000,1,;
0,180,g,5,1,1,;
$,pgc6780,01:50:32.91,+35:21:33.33,2000,1,;
0,300,g,5,1,1,;
$,pgc10180,02:41:15.50,+38:44:36.80,2000,1,;
0,300,g,5,1,1,;
$,pgc9702,02:32:53.99,+38:40:50.26,2000,1,;
0,300,g,5,1,1,;
$,pgc8932,02:20:58.09,+38:39:26.80,2000,1,;
0,300,g,5,1,1,;
$,pgc10124,02:40:25.12,+38:33:48.00,2000,1,;
0,240,g,5,1,1,;
$,pgc8737,02:17:23.07,+38:24:49.90,2000,1,;
0,180,g,5,1,1,;
$,pgc9460,02:29:11.62,+38:23:46.03,2000,1,;
0,300,g,5,1,1,;
$,pgc7646,02:00:55.08,+38:12:37.89,2000,1,;
0,180,g,5,1,1,;
$,pgc8268,02:09:56.53,+38:10:42.36,2000,1,;
0,300,g,5,1,1,;
$,pgc7832,02:03:27.91,+38:07:01.20,2000,1,;
0,180,g,5,1,1,;
$,pgc8782,02:18:05.06,+38:04:36.20,2000,1,;
0,180,g,5,1,1,;
$,pgc12423,03:19:44.66,+41:26:47.20,2000,1,;
0,300,g,5,1,1,;
$,pgc12206,03:17:13.60,+41:26:07.95,2000,1,;
0,360,g,5,1,1,;
$,pgc12386,03:19:22.38,+41:25:45.87,2000,1,;
0,300,g,5,1,1,;
$,pgc12565,03:21:02.23,+41:24:34.01,2000,1,;
0,300,g,5,1,1,;
$,pgc2180624,03:23:26.97,+41:24:23.50,2000,1,;
0,360,g,5,1,1,;
$,pgc12528,03:20:42.18,+41:24:14.37,2000,1,;
0,360,g,5,1,1,;
$,pgc97020,03:47:50.51,+41:23:39.80,2000,1,;
0,360,g,5,1,1,;
$,pgc12597,03:21:36.47,+41:23:34.00,2000,1,;
0,240,g,5,1,1,;
$,pgc12967,03:29:11.78,+41:23:16.60,2000,1,;
0,300,g,5,1,1,;
$,pgc12544,03:20:49.30,+41:22:14.48,2000,1,;
0,300,g,5,1,1,;
$,pgc15481,04:32:48.33,+10:23:29.84,2000,1,;
0,300,g,5,1,1,;
$,pgc16193,04:51:49.25,+08:50:38.40,2000,1,;
0,240,g,5,1,1,;
$,pgc16135,04:50:24.27,+08:42:47.20,2000,1,;
0,240,g,5,1,1,;
$,pgc16033,04:48:00.12,+08:42:42.30,2000,1,;
0,360,g,5,1,1,;
$,pgc14564,04:09:11.93,+08:38:55.50,2000,1,;
0,240,g,5,1,1,;
$,pgc14551,04:08:47.13,+08:30:56.20,2000,1,;
0,360,g,5,1,1,;
$,pgc15375,04:31:13.87,+08:30:40.00,2000,1,;
0,240,g,5,1,1,;
$,pgc15992,04:46:52.27,+08:16:15.50,2000,1,;
0,300,g,5,1,1,;
$,pgc14762,04:16:04.88,+08:10:48.40,2000,1,;
0,240,g,5,1,1,;
$,pgc15389,04:31:26.33,+08:09:38.00,2000,1,;
0,360,g,5,1,1,;
$,SN2018yu,05:22:32.36,-11:29:13.87,2000,1,;
0,600,B,5,1,1,;
0,600,V,5,1,1,;
0,520,g,5,1,1,;
0,520,r,5,1,1,;
0,520,i,5,1,1,;
$,pgc16575,05:01:43.23,-00:30:22.40,2000,1,;
0,300,g,5,1,1,;
$,pgc3080736,05:00:19.71,-00:31:11.67,2000,1,;
0,300,g,5,1,1,;
$,pgc16886,05:11:25.54,-00:34:28.71,2000,1,;
0,300,g,5,1,1,;
$,pgc17058,05:17:45.84,-01:11:12.68,2000,1,;
0,360,g,5,1,1,;
$,pgc16620,05:02:53.73,-01:17:10.46,2000,1,;
0,300,g,5,1,1,;
$,pgc16531,05:00:26.46,-01:23:09.80,2000,1,;
0,300,g,5,1,1,;
$,pgc90732,05:02:47.30,-02:17:07.00,2000,1,;
0,360,g,5,1,1,;
$,pgc16868,05:10:48.09,-02:40:54.25,2000,1,;
0,240,g,5,1,1,;
$,pgc16636,05:03:17.38,-02:56:11.36,2000,1,;
0,240,g,5,1,1,;
$,pgc16589,05:01:54.82,-03:17:46.40,2000,1,;
0,240,g,5,1,1,;
$,AT2018hmx,08:33:39.34,+55:35:53.10,2000,1,;
0,300,g,5,1,1,;
0,300,r,5,1,1,;
0,300,i,5,1,1,;
$,SN2018hfg,08:52:56.32,+42:24:47.02,2000,1,;
0,300,B,5,1,1,;
0,300,V,5,1,1,;
0,300,g,5,1,1,;
0,300,r,5,1,1,;
0,300,i,5,1,1,;
$,AT2018hov,09:02:00.40,+12:21:22.65,2000,1,;
0,440,B,5,1,1,;
0,440,V,5,1,1,;
0,360,g,5,1,1,;
0,360,r,5,1,1,;
0,360,i,5,1,1,;
$,SN2018oh,09:06:39.54,+19:20:17.77,2000,1,;
0,480,B,5,1,1,;
0,480,V,5,1,1,;
0,480,g,5,1,1,;
0,420,r,5,1,1,;
0,420,i,5,1,1,;
$,SN2018hfr,09:30:55.10,-04:34:16.25,2000,1,;
0,300,B,5,1,1,;
0,300,V,5,1,1,;
0,300,g,5,1,1,;
0,300,r,5,1,1,;
0,300,i,5,1,1,;
$,pgc19807,06:53:32.61,+30:18:51.00,2000,1,;
0,300,g,5,1,1,;
$,pgc19802,06:53:21.24,+30:16:39.50,2000,1,;
0,300,g,5,1,1,;
$,pgc19827,06:54:31.56,+30:04:15.60,2000,1,;
0,300,g,5,1,1,;
$,pgc97187,06:51:49.48,+29:58:45.80,2000,1,;
0,360,g,5,1,1,;
$,pgc19674,06:49:46.08,+29:31:33.87,2000,1,;
0,300,g,5,1,1,;
$,pgc19675,06:49:55.13,+29:31:16.80,2000,1,;
0,300,g,5,1,1,;
$,pgc19568,06:46:03.59,+29:20:53.08,2000,1,;
0,240,g,5,1,1,;
$,pgc19548,06:45:35.19,+29:13:21.90,2000,1,;
0,300,g,5,1,1,;
$,pgc19954,06:58:47.42,+29:00:34.70,2000,1,;
0,300,g,5,1,1,;
$,pgc19499,06:43:42.48,+28:27:16.50,2000,1,;
0,300,g,5,1,1,;
$,pgc20679,07:19:30.89,+59:21:18.40,2000,1,;
0,180,g,5,1,1,;
$,pgc21496,07:39:10.94,+59:09:40.30,2000,1,;
0,240,g,5,1,1,;
$,pgc20649,07:18:49.66,+59:03:18.06,2000,1,;
0,300,g,5,1,1,;
$,pgc2584260,07:18:53.08,+58:55:06.30,2000,1,;
0,360,g,5,1,1,;
$,pgc21067,07:28:12.99,+58:30:24.20,2000,1,;
0,240,g,5,1,1,;
$,pgc22219,07:56:00.65,+58:25:49.10,2000,1,;
0,240,g,5,1,1,;
$,pgc2576681,07:21:36.06,+58:16:25.56,2000,1,;
0,360,g,5,1,1,;
$,pgc20734,07:20:41.20,+58:12:26.18,2000,1,;
0,300,g,5,1,1,;
$,pgc20958,07:24:56.59,+58:09:14.14,2000,1,;
0,300,g,5,1,1,;
$,pgc20882,07:23:04.25,+58:05:48.30,2000,1,;
0,300,g,5,1,1,;
